year,artist,track,time,genre,dateentered,datepeaked
2000,"McBride, Martina",Love's The Only House,05:13,Country,05/02/2000,15/04/2000
2000,Amber,Sexual (Li Da Di),04:38,Rock,17/07/1999,12/02/2000
2000,"Tippin, Aaron",Kiss This,02:53,Country,26/08/2000,21/10/2000
2000,SheDaisy,I Will.. But,03:40,Country,15/07/2000,16/09/2000
2000,"Raye, Collin",Couldn't Last A Moment,03:40,Country,18/03/2000,24/06/2000
2000,Black Rob,Whoa!,04:04,Rap,04/03/2000,15/04/2000
2000,"Jackson, Alan",Pop A Top,03:04,Country,13/11/1999,22/01/2000
2000,"Black, Clint",Been There,05:28,Country,19/02/2000,15/04/2000
2000,Common,The Light,03:55,Rap,05/08/2000,09/09/2000
2000,"Vassar, Phil",Carlene,04:07,Country,04/03/2000,22/04/2000
2000,"Jackson, Alan",www.memory,02:36,Country,04/11/2000,23/12/2000
2000,Vitamin C,The Itch,03:30,Rock,02/12/2000,16/12/2000
2000,"Eastsidaz, The",G'D Up,04:27,Rap,08/01/2000,12/02/2000
2000,Ideal,Whatever,03:48,R&B,10/06/2000,19/08/2000
2000,"Thomas, Carl",Emotional,04:31,Rock,25/11/2000,30/12/2000
2000,Ginuwine,None Of Ur Friends Business,04:12,Rock,11/12/1999,22/01/2000
2000,"Davidson, Clay",Unconditional,03:56,Country,25/03/2000,17/06/2000
2000,DMX,What You Want,04:05,Rap,01/07/2000,23/09/2000
2000,"John, Elton",Someday Out Of The Blue,04:41,Rock,22/04/2000,06/05/2000
2000,Pearl Jam,Nothing As It Seems,05:20,Rock,13/05/2000,13/05/2000
2000,Mya,The Best Of Me,04:12,Rock,15/04/2000,20/05/2000
2000,"Heatherly, Eric",Flowers On The Wall,03:16,Country,29/04/2000,12/08/2000
2000,Eminem,Stan,05:26,Rap,04/11/2000,02/12/2000
2000,"McEntire, Reba",I'll Be,04:23,Country,13/05/2000,29/07/2000
2000,"Lopez, Jennifer",Feelin' Good,04:28,Latin,19/02/2000,08/04/2000
2000,"Urban, Keith",Your Everything,04:10,Country,15/07/2000,16/09/2000
2000,TLC,Dear Lie,04:36,Rock,12/02/2000,04/03/2000
2000,"Gill, Vince",Feels Like Love,04:13,Country,02/09/2000,18/11/2000
2000,"Houston, Whitney",Could I Have This Kiss Forever,03:54,Rock,17/06/2000,05/08/2000
2000,Bloodhound Gang,The Bad Touch,04:20,R&B,18/03/2000,15/04/2000
2000,"Williams, Robbie",Angels,03:56,Rock,20/11/1999,22/01/2000
2000,"Messina, Jo Dee",Because You Love Me,03:50,Country,29/01/2000,11/03/2000
2000,"Keith, Toby",Country Comes To Town,03:39,Country,05/08/2000,14/10/2000
2000,Beenie Man,Girls Dem Sugar,04:17,Reggae,21/10/2000,02/12/2000
2000,"Hill, Faith",Let's Make Love,04:11,Rap,12/08/2000,21/10/2000
2000,Kelis,Caught Out There,04:09,R&B,04/12/1999,08/01/2000
2000,Jay-Z,Anything,03:41,Rap,26/02/2000,11/03/2000
2000,3 Doors Down,Loser,04:24,Rock,21/10/2000,02/12/2000
2000,Brooks & Dunn,You'll Always Be Loved By Me,02:58,Country,10/06/2000,09/09/2000
2000,"Chesney, Kenny",What I Need To Do,04:05,Country,01/04/2000,10/06/2000
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,25/12/1999,22/01/2000
2000,Da Brat,That's What I'm Looking For,03:44,Rap,26/02/2000,15/04/2000
2000,SheDaisy,This Woman Needs,03:20,Country,05/02/2000,04/03/2000
2000,Papa Roach,Last Resort,03:19,Rock,29/07/2000,02/12/2000
2000,"Adams, Yolanda",Open My Heart,05:30,Gospel,26/08/2000,21/10/2000
2000,Shyne,Bad Boyz,04:22,Rap,09/09/2000,28/10/2000
2000,R.E.M.,The Great Beyond,04:10,Rock,25/12/1999,29/01/2000
2000,"Diffie, Joe",It's Always Somethin',02:55,Country,12/08/2000,16/09/2000
2000,"McGraw, Tim",Some Things Never Change,03:56,Country,13/05/2000,01/07/2000
2000,"Henley, Don",Taking You Home,04:08,Rock,24/06/2000,05/08/2000
2000,Eminem,The Way I Am,04:40,Rap,26/08/2000,30/09/2000
2000,Nas,You Owe Me,03:51,R&B,25/03/2000,15/04/2000
2000,Sister Hazel,Change Your Mind,04:02,Rock,15/07/2000,05/08/2000
2000,Puff Daddy,Best Friend,05:33,Rap,12/02/2000,19/02/2000
2000,"McBride, Martina",There You Are,03:26,Country,09/09/2000,21/10/2000
2000,Usher,Pop Ya Collar,03:36,Rock,04/11/2000,18/11/2000
2000,Lil' Kim,No Matter What They Say,04:12,Rap,15/07/2000,05/08/2000
2000,LFO,I Don't Wanna Kiss You Goodnight,05:00,Rock,15/04/2000,22/04/2000
2000,SheDaisy,Deck The Halls,03:46,Country,25/12/1999,01/01/2000
2000,Splender,I Think God Can Explain,03:55,R&B,10/06/2000,24/06/2000
2000,"Simpson, Jessica",Where You Are,03:51,Rock,01/04/2000,15/04/2000
2000,M2M,Mirror Mirror,03:19,Pop,01/04/2000,27/05/2000
2000,Kumbia Kings,U Don't Love Me,03:50,R&B,04/03/2000,18/03/2000
2000,Joe,Treat Her Like A Lady,04:12,Rock,05/08/2000,19/08/2000
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,13/11/1999,22/01/2000
2000,"Price, Kelly",You Should've Told Me,03:12,Rock,23/09/2000,02/12/2000
2000,Changing Faces,That Other Woman,04:00,Rock,30/09/2000,28/10/2000
2000,"Wright, Chely",It Was,03:51,R&B,04/03/2000,15/04/2000
2000,Limp Bizkit,Rollin',04:04,Rock,11/11/2000,09/12/2000
2000,Hot Boys,I Need A Hot Girl,04:16,Rap,19/02/2000,11/03/2000
2000,Jay-Z,Do It Again (Put Ya Hands Up),03:47,Rap,15/01/2000,29/01/2000
2000,"Adkins, Trace",More,03:05,Country,29/04/2000,17/06/2000
2000,"Dixie Chicks, The",Cold Day In July,05:12,Country,24/06/2000,05/08/2000
2000,"Price, Kelly",As We Lay,06:20,Rock,15/07/2000,05/08/2000
2000,DMX,What's My Name,03:50,Rap,15/01/2000,12/02/2000
2000,"Martin, Ricky",Private Emotion,04:02,Latin,11/03/2000,18/03/2000
2000,Nine Days,If I Am,04:18,Rock,02/12/2000,02/12/2000
2000,"Blige, Mary J.",Give Me You,05:00,Rock,15/04/2000,13/05/2000
2000,Red Hot Chili Peppers,Californication,05:21,Rock,29/07/2000,14/10/2000
2000,Third Eye Blind,Deep Inside Of You,04:10,Rock,02/09/2000,07/10/2000
2000,"Brooks, Garth",Do What You Gotta Do,02:56,Country,19/02/2000,18/03/2000
2000,"Offspring, The",Original Prankster,03:42,Rock,25/11/2000,09/12/2000
2000,"Anthony, Marc",My Baby You,03:59,Latin,16/09/2000,07/10/2000
2000,"Houston, Whitney","Same Script, Different Cast",04:45,Rock,17/06/2000,15/07/2000
2000,D'Angelo,Left & Right,04:35,R&B,11/12/1999,01/01/2000
2000,"Kravitz, Lenny",I Belong To You,04:17,Rock,25/03/2000,08/04/2000
2000,"Loveless, Patty",That's The Kind Of Mood I'm In,03:27,Country,16/09/2000,18/11/2000
2000,Q-Tip,Breathe And Stop,04:06,Rock,22/01/2000,22/01/2000
2000,"Rimes, LeAnn",Can't Fight The Moonlight,03:33,Country,09/09/2000,16/09/2000
2000,Lil Wayne,Tha Block Is Hot,04:13,Rap,04/12/1999,08/01/2000
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),04:22,Rap,26/02/2000,11/03/2000
2000,"Wallflowers, The",Sleepwalker,03:29,Rock,28/10/2000,28/10/2000
2000,Drama,"Left, Right, Left",03:37,Rap,12/02/2000,18/03/2000
2000,Limp Bizkit,N 2 Gether Now,03:55,Rock,04/12/1999,08/01/2000
2000,Lox,"Ryde or Die, Chick",03:56,Rap,18/03/2000,25/03/2000
2000,Ying Yang Twins,Whistle While You Twurk,04:19,Rap,18/03/2000,29/04/2000
2000,"Walker, Clay","Live, Laugh, Love",04:06,Country,04/12/1999,22/01/2000
2000,Metallica,No Leaf Clover (Live),05:43,Rock,12/02/2000,11/03/2000
2000,Yankee Grey,Another Nine Minutes,03:10,Country,29/04/2000,20/05/2000
2000,"Bega, Lou",Tricky Tricky ,03:23,Rock,29/01/2000,05/02/2000
2000,Big Punisher,It's So Hard,03:25,Rap,22/04/2000,06/05/2000
2000,"Worley, Darryl",When You Need My Love,03:35,Country,17/06/2000,02/09/2000
2000,Lil' Kim,How Many Licks?,03:50,Rap,25/11/2000,02/12/2000
2000,"Clark, Terri",A Little Gasoline,03:07,Country,16/12/2000,16/12/2000
2000,"Brock, Chad",A Country Boy Can Survive,03:54,Country,01/01/2000,08/01/2000
2000,"Cagle, Chris",My Love Goes On And On,03:02,Country,21/10/2000,02/12/2000
2000,"Byrd, Tracy",Put Your Hand In Mine,04:30,Country,29/01/2000,12/02/2000
2000,Metallica,I Disappear,04:26,Rock,13/05/2000,17/06/2000
2000,Jay-Z,Hey Papi,03:40,Rap,12/08/2000,07/10/2000
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,13/11/1999,22/01/2000
2000,"Levert, Gerald",Mr. Too Damn Good,04:06,R&B,18/03/2000,08/04/2000
2000,"McKnight, Brian",Stay Or Let It Go,04:32,Rock,26/02/2000,25/03/2000
2000,"Allan, Gary",Smoke Rings In The Dark,04:18,Country,22/01/2000,05/02/2000
2000,Ginuwine,The Best Man I Can Be,04:06,Rock,08/01/2000,04/03/2000
2000,Before Dark,Monica,04:04,Rock,20/05/2000,17/06/2000
2000,"Estefan, Gloria",No Me Dejes De Querer,03:25,Rock,10/06/2000,10/06/2000
2000,Stone Temple Pilots,Sour Girl,04:16,Rock,08/07/2000,29/07/2000
2000,Montgomery Gentry,Daddy Won't Sell The Farm,04:18,Country,04/03/2000,25/03/2000
2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,03:45,Country,23/09/2000,11/11/2000
2000,Clark Family Experience,Meanwhile Back At The Ranch,02:56,Country,18/11/2000,16/12/2000
2000,"Thomas, Carl",Summer Rain,04:57,Rock,23/09/2000,14/10/2000
2000,"Yearwood, Trisha",Real Live Woman,03:55,Country,01/04/2000,29/04/2000
2000,Trick Daddy,Shut Up,04:17,Rap,20/05/2000,17/06/2000
2000,"Moore, Chante",Straight Up,03:40,Rock,28/10/2000,02/12/2000
2000,Cam'ron,What Means The World To You,04:38,Rap,14/10/2000,18/11/2000
2000,Juvenile,U Understand,03:51,Rap,05/02/2000,12/02/2000
2000,"Hollister, Dave",Can't Stay,06:17,Rock,25/03/2000,25/03/2000
2000,Tamia,Can't Go For That,03:38,Rock,16/09/2000,30/09/2000
2000,LFO,West Side Story,03:27,Rock,05/08/2000,12/08/2000
2000,"Paisley, Brad",Me Neither,03:19,Country,13/05/2000,20/05/2000
2000,"Carter, Torrey",Take That,03:43,Rock,24/06/2000,08/07/2000
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),03:15,R&B,02/09/2000,09/09/2000
2000,Madison Avenue,Don't Call Me Baby,03:44,Electronica,08/07/2000,16/09/2000
2000,Eve,Got It All,03:48,Rap,15/07/2000,22/07/2000
2000,Limp Bizkit,Re-Arranged,04:08,Rock,04/12/1999,05/02/2000
2000,"Spencer, Tracie",Still In My Heart,04:11,Rock,04/03/2000,11/03/2000
2000,Nu Flavor,3 Little Words,03:54,R&B,03/06/2000,17/06/2000
2000,Tamar,If You Don't Wanna Love Me,04:02,Rock,25/03/2000,15/04/2000
2000,"Levert, Gerald",Baby U Are,04:10,R&B,19/08/2000,26/08/2000
2000,"Hart, Beth",L.A. Song,03:47,Country,27/11/1999,15/01/2000
2000,"Diffie, Joe",The Quittin' Kind,03:23,Country,01/01/2000,22/01/2000
2000,Funkmaster Flex,Do You,04:14,Rap,11/11/2000,02/12/2000
2000,"Price, Kelly",Love Sets You Free,03:46,Rock,13/05/2000,20/05/2000
2000,En Vogue,Riddle,05:10,Rock,17/06/2000,17/06/2000
2000,"Herndon, Ty",No Mercy,04:43,Country,18/03/2000,06/05/2000
2000,Anastacia,I'm Outta Love,04:01,Pop,01/04/2000,01/04/2000
2000,Trina,Pull Over,02:58,Rap,09/09/2000,16/09/2000
2000,Lil' Mo,Ta Da,04:17,Rap,12/08/2000,16/09/2000
2000,A*Teens,Dancing Queen,03:44,Pop,08/07/2000,29/07/2000
2000,"Sheist, Shade",Where I Wanna Be,04:16,Rap,11/11/2000,18/11/2000
2000,De La Soul,All Good?,05:02,Rap,23/12/2000,23/12/2000
2000,"Larrieux, Amel",Get Up,04:02,R&B,04/03/2000,11/03/2000
2000,"Braxton, Toni",Spanish Guitar,04:24,Rock,02/12/2000,02/12/2000
2000,Tuesday,I Know,04:06,Rock,30/12/2000,30/12/2000
2000,LL Cool J,Imagine That,04:00,Rap,12/08/2000,19/08/2000
2000,Master P,Souljas,03:33,Rap,18/11/2000,18/11/2000
2000,Ghostface Killah,Cherchez LaGhost,03:04,R&B,05/08/2000,05/08/2000
2000,"Smith, Will",Freakin' It,03:58,Rap,12/02/2000,12/02/2000
2000,Zombie Nation,Kernkraft 400,03:30,Rock,02/09/2000,02/09/2000
2000,"Eastsidaz, The",Got Beef,03:58,Rap,01/07/2000,01/07/2000
2000,Fragma,Toca's Miracle,03:22,R&B,28/10/2000,28/10/2000
